Manufacturer;date;Sales_in_thousands
Acura;2020-01-01;16.919
Audi;2020-01-01;20.397
BMW;2020-01-01;19.747
Acura;2020-02-01;91.561
Audi;2020-02-01;63.729
BMW;2020-02-01;145.519
Acura;2020-03-01;7.854
Audi;2020-03-01;76.034
BMW;2020-03-01;70.227
Acura;2020-04-01;199.685
Audi;2020-04-01;41.184
BMW;2020-04-01;23.713
Acura;2020-05-01;15.467
Audi;2020-05-01;55.557
Acura;2020-05-01;24.072
Audi;2020-06-01;13.798
BMW;2020-06-01;26.232
Acura;2020-06-01;14.351
Audi;2020-07-01;18.392
BMW;2020-07-01;42.643
Acura;2020-07-01;1.112
Audi;2020-08-01;32.734
BMW;2020-08-01;51.645
Acura;2020-08-01;8.982
Audi;2020-09-01;9.191
BMW;2020-09-01;80.62
Acura;2020-09-01;47.107
Audi;2020-10-01;142.535
BMW;2020-10-01;9.761
Acura;2020-10-01;16.957
Audi;2020-11-01;33.773
BMW;2020-11-01;32.967
Acura;2020-11-01;32.162
Audi;2020-12-01;31.356
BMW;2020-12-01;30.551
Acura;2020-12-01;29.745
